id,title,description,availability,condition,price,link,image_link,brand
t-shirt-casual-jersey,American Style T-Shirt,Jersey-like Tshirt Short Sleeved,in stock,new,22000,https://www.dtwears.ng/products/t-shirt-casual-jersey,https://res.cloudinary.com/tundexijim/image/upload/v1761956841/FB%20Catalogue/American_T-shirt2_jswmdf.jpg,dtwears
american-football-jersey,NFL Jersey,American Football LAMB Jersey ,in stock,new,22000,https://www.dtwears.ng/products/american-football-jersey,https://res.cloudinary.com/tundexijim/image/upload/v1761944543/FB%20Catalogue/American_Football_white_hgu6hn.jpg,dtwears
saint-michael-vintage-t-shirt,Saint Michael Vintage T-Shirt,Unisex Casual Tshirt with mesh design,in stock,new,25000,https://www.dtwears.ng/products/saint-michael-vintage-t-shirt,https://res.cloudinary.com/tundexijim/image/upload/v1761944542/FB%20Catalogue/Saint_Michael_Vintage_onfuwt.jpg,dtwears
vintage-stylish-unisex-jersey,Vintage Stylish Jersey,Unisex Vintage Casual Tshirt,in stock,new,25000,https://www.dtwears.ng/products/vintage-stylish-unisex-jersey,https://res.cloudinary.com/tundexijim/image/upload/v1761944542/FB%20Catalogue/Vintage_S_Jersey_jexg4l.jpg,dtwears
nfl-jersey,NFL Jersey,American Football BOSA Jersey ,in stock,new,22000,https://www.dtwears.ng/products/nfl-jersey,https://res.cloudinary.com/tundexijim/image/upload/v1761944541/FB%20Catalogue/NFL_Jersey_black_fr7riq.jpg,dtwears
sydney-roogby-home-jersey,Sydney Roogby Jersey,Roosters home and away men's Jersey,in stock,new,25000,https://www.dtwears.ng/products/sydney-roogby-home-jersey,https://res.cloudinary.com/tundexijim/image/upload/v1761944542/FB%20Catalogue/Sydney_Rugby_b2au4s.jpg,dtwears
nba-la-lakers-jersey,LA Lakers Jersey,NBA Lakers JAMES sleeveless Jersey,in stock,new,15000,https://www.dtwears.ng/products/nba-la-lakers-jersey,https://res.cloudinary.com/tundexijim/image/upload/v1761944543/FB%20Catalogue/LA_Lakers_gwbths.jpg,dtwears
houston-cougars-jersey,Houston Cougars Jersey,NBA Houston Cougars McGRADY Jersey,in stock,new,20000,https://www.dtwears.ng/products/houston-cougars-jersey,https://res.cloudinary.com/tundexijim/image/upload/v1761944543/FB%20Catalogue/Houston_Cougars_sentxj.jpg,dtwears
chicago-bulls-jersey,Chicago Bulls Jersey,NBA Chicago Bulls JORDAN Jersey,in stock,new,12000,https://www.dtwears.ng/products/chicago-bulls-jersey,https://res.cloudinary.com/tundexijim/image/upload/v1761944542/FB%20Catalogue/Chicago_bulls_ebdeta.jpg,dtwears
indianapolis-colts-nfl-jersey,Indianapolis Colts Jersey,American Football NELSON Jersey,in stock,new,22000,https://www.dtwears.ng/products/indianapolis-colts-nfl-jersey,https://res.cloudinary.com/tundexijim/image/upload/v1761944543/FB%20Catalogue/Indi_Colt_Jersey_yinawg.jpg,dtwears
new-balance-9060,New Balance 9060,New Balance 9060 with comfortable cushion sole,in stock,new,42000,https://www.dtwears.ng/products/new-balance-9060,https://res.cloudinary.com/tundexijim/image/upload/v1761944542/FB%20Catalogue/1960_zfnf1y.jpg,dtwears
nike-airforce-1,Nike Air-force1,White stylish air-force1 ,in stock,new,42000,https://www.dtwears.ng/products/nike-airforce-1,https://res.cloudinary.com/tundexijim/image/upload/v1761944541/FB%20Catalogue/Nike_Airforce1_v8baek.jpg,dtwears
new-york-yankees,New York Yankees,Comfortable NY Sleeky Sneakers,in stock,new,36000,https://www.dtwears.ng/products/new-york-yankees,https://res.cloudinary.com/tundexijim/image/upload/v1761944541/FB%20Catalogue/NewYork_Yankees_of5tus.jpg,dtwears
new-mlb-chunky-sneakers,New MLB Chunky Sneakers,Comfortable MLB Sleeky Sneakers,in stock,new,36000,https://www.dtwears.ng/products/new-mlb-chunky-sneakers,https://res.cloudinary.com/tundexijim/image/upload/v1761945366/FB%20Catalogue/MLB_zu79uh.jpg,dtwears
new-casual-sport-sneakers,Casual Sport Sneakers,Sport-like casual outdoor Sneakers,in stock,new,20000,https://www.dtwears.ng/products/new-casual-sport-sneakers,https://res.cloudinary.com/tundexijim/image/upload/v1761944541/FB%20Catalogue/Casual_Sport_Sneakers_yhz2zj.jpg,dtwears
nfl-jersey-red,NFL Jersey (Red),American Football BOSA Jersey (Red),in stock,new,22000,https://www.dtwears.ng/products/nfl-jersey-red,https://res.cloudinary.com/tundexijim/image/upload/v1763571136/FB%20Catalogue/nfl_jersey_red_mdew1o.jpg,dtwears
